Aboriginal descent|Aboriginal decent
African descent|African decent
Africa|Afica
Air Canada Centre|Air Canada Center
Albanian descent|Albanian decent
Alsatian|alsation
American descent|American decent
American|Ameircan
American|Amercian
America|Amercia
Ancien Régime|Ancien R[eé]gime
Ancien Régime|ancien regime
André|Andr[eé]|C
André|Andre|C
Antarctic|Antartic
Apennines|Apenines
Apennines|Appenines
Apennines|apenines
Apennines|appenines
April|Aoril
April|Apirl
April|april
Aquarius|aquarius
Archimedean|Archimedian
Archimedean|archimedian
Arctic Circle|Artic Circle
Arctic Ocean|Artic Ocean
Aries|aries
Armenian descent|Armenian decent
Asian descent|Asian decent
Asian|aisian
Athenians|Atheneans
Athenians|atheneans
Athenian|Athenean
Athenian|athenean
Atlanta|Altanta
August|Augsut
August|Auguest
August|Augut
August|Ausust
August|auguat
August|august
Australasia|Australiasia
Australian|austrailian
Australian|australian
Australia|austrailia
Australia|australia
Barnsley|Barnsely
Beijing|Bejing
Belgium|Belguim
Benghazi|Bengahzi
Bernoulli|Bernouilli
Bernoulli|bernouilli
Beyoncé|Beyonc[eé]
Beyoncé|Beyonce
Bichon Frisé|Bichon Fris[eé]
Bichon Frisé|Bichon Frise
Bjørn|Bj[oø]rn
Bjørn|Bjorn
Blitzkrieg|Blitzkreig
Blitzkrieg|blitzkreig
Bonanno|Bonnano
Bonanno|bonnano
Brazilian|Brasillian
Brazilian|Brazillian
Brazilian|brasillian
Brigadier|Brigandier
Brinsley Schwarz|Brinsley Schwartz
Britain|Britan
Britain|Britian
Britain|Brittain
Britain|britian
British|Brittish
British|brittish
Brontë|Bront[eë]
Brontë|Bronte
Brussels|Brussells
Buddha|buddah
Buenos Aires|Buenos Aries
Bézier curves|B[eé]zier curves
Bézier curves|Bezier curves
Caesar|Ceasar
Caesar|ceasar
Californian|Califronian
Californian|califronian
California|Califronia
California|califronia
Cambridge|Cambrige
Cambridge|cambrige
Canadian descent|Canadian decent
Canadian|Canadaian
Canadian|Canadain
Cape Town|capetown
Caribbean descent|Caribbean decent
Caribbean|Carribbean
Caribbean|Carribean
Caribbean|carribbean
Caribbean|carribean
Carmelite|Carmalite
Carmelite|carmalite
Carthaginian|Carthagian
Carthaginian|carthagian
Caucasian|caucasion
Celsius|Celcius
Celsius|celcius
Champagne|Champange
Champs-Élysées|Champs-[EÉ]lys[eé]es
Champs-Élysées|champs-elysees
Charlotte|Charolette
Chhattisgarh|Chattisgarh
Chhattisgarh|Chhatisgarh
Chinese descent|Chinese decent
Chinese|Chineese
Chloë|Chlo[eë]
Chloë|Chloe
Christmas|Chrismas
Cincinnati|Cincinatti
Cincinnati|Cincinnatti
Cincinnati|cincinatti
Cincinnati|cincinnatti
Citroën|Citro[eë]n
Citroën|Citroen
Connecticut|Conneticut
Connecticut|conneticut
Coventry|Conventry
Creüsa|Cre[uü]sa
Creüsa|creusa
Dalmatian|Dalmation
Dardanelles|Dardenelles
Dardanelles|dardenelles
December|Dcember
December|Decemeber
December|Decemer
December|Decmeber
December|Demcember
December|december
Delhi|delhi
Detroit|Detriot
Dravidian|Dravadian
Dravidian|dravadian
Dvořák|Dvo[rř][aá]k
Dvořák|Dvoř[aá]k
El Niño|El Ni[nñ]o
El Niño|El Nino
El Niño|el nino
English|enlish
Europeans|Europians
Europeans|europians
European|Euorpean
European|Europian
European|Eurpean
European|Eurpoean
European|europian
European|eurpean
European|eurpoean
Europe|Euorpe
Fahrenheit|Farenheit
Fahrenheit|farenheit
February|Fabruary
February|Febrary
February|Febraury
February|Februarz
February|Februaury
February|Februrary
February|Februray
February|Februsry
February|Febuary
February|Feburary
February|Feburay
February|Feburuary
February|Fenruary
February|Ferbruary
February|Ferbuary
February|Ferburary
February|Feruary
February|Frbruary
February|february
February|febuary
Filipino|Philipino
Filipino|Philippino
Filipino|Phillipino
Filipino|Phillippino
First World War|First Word War
Flemish|Flemmish
Flemish|flemmish
Fomalhaut|Formalhaut
Fomalhaut|formalhaut
Franciscans|Fransiscans
Franciscans|fransiscans
Franciscan|Fransiscan
Franciscan|fransiscan
Frankfurt|Franfurt
Friday|friday
Föhn wind|F[oö]hn wind
Föhn wind|Fohn wind
Führer|F[uü]hrer
Führer|Fuhrer
Führer|fuhrer
GDPR|GDRP|C1
Galatians|Galations
Galatians|galations
Game Boy|gameboy
Gandhi|Ghandi
Gandhi|ghandi
George|Goerge
German Shepherd|German Shepard
German Shepherd|German Sheperd
German Shepherd|German Shephard
Gewürztraminer|Gew[uü]rztraminer
Gewürztraminer|gewurztraminer
Gibraltar|Gibralter
Giuliani|Guiliani
Giuliani|guiliani
Giulia|Guilia
Giulia|guilia
Giulio|Guilio
Giulio|guilio
Giuseppe|Guiseppe
Giuseppe|guiseppe
Godunov|Godounov
Godunov|godounov
Gothenburg|Gothenberg
Gothenburg|gothenberg
Gottlieb|Gottleib
Gottlieb|gottleib
Government Minister|Government Minster
Grecian|Greecian
Gruyère|Gruy[eè]re
Gruyère|Gruyere
Gräfenberg spot|Gr[aä]fenberg spot
Gräfenberg spot|grafenberg spot
Guadalupe|guadulupe
Guatemalan|Guatamalan
Guatemalan|guatamalan
Guatemala|Guatamala
Guatemala|guatamala
Guinness|Guiness
Guinness|guiness
Götterdämmerung|G[oö]tterd[aä]mmerung
Götterdämmerung|gotterdammerung
Habsburg|Habsbourg
Habsburg|habsbourg
Halloween|hallowean
Hawai'i|Hawaii
Heidelberg|Heidelburg
Heidelberg|heidelburg
Hz|hz
I'd|i;d
I'm|i"m
I've|ive
Illinois|Illionis
Incheon|Inchon
Israelis|Israelies
Israelite|Isrealite
Israeli|Israely
Israeli|Isreali
Israel|Isreal
Italy|Itlay
Ithaca|Ihaca
Ithaca|ihaca
Jamaica|Jamacia
January|Jamuary
January|Janauary
January|Januart
January|Janurary
January|Januray
January|Janusry
January|Janyary
January|Jauary
January|Jaunary
January|Jauuary
January|Jnauary
January|Jnuary
January|january
Japanese|Japaneese
Japanese|Japanes
Japanese|japanes
Jerusalem|Jersualem
Jharkhand|Jharkand
Jimi Hendrix|Jimmy Hendrix
Jimmy Buffett|Jimmy Buffet
Johannine|Johanine
Johannine|johanine
Johnson|Johsnon
Joseph|Jospeh
Joseph|jospeh
Judaism|Juadaism
Judaism|Juadism
Judaism|juadaism
Judaism|juadism
July|july
June|june
Ku Klux Klan|Klu Klux Klan
La Niña|La Ni[nñ]a
La Niña|La Nina
La Niña|la nina
Libya|Lybia
Libya|lybia
Lincolnshire|Linconshire
Los Angeles|Los Angles
Louisiana|Lousiana
MHz|mhz
Malcolm|Malcom
Malcolm|malcom
Maltese|Maltesian
Maltese|maltesian
Manhattan|Manhatten
Marxist|Marixist
Massachusetts|Massachussets
Massachusetts|Massachussetts
Massachusetts|massachussets
Massachusetts|massachussetts
Mediterranean|Mediteranean
Mediterranean|mediteranean
Miami|Maimi
Michael|Micheal
Michael|micheal
Michigan|Michagan
Michigan|Michgian
Michigan|michagan
Mississippi|Missisipi
Mississippi|Missisippi
Mississippi|Mississipi
Mississippi|missisipi
Mississippi|missisippi
Missouri|Misouri
Missouri|misouri
Mithraic|Mythraic
Mithraic|mythraic
Monaco|Monacco
Monday|monday
Montréal|Montr[eé]al
Montréal|Montreal
Montserrat|monserrat
Morissette|morisette
Morissette|morrisette
Morocco|Morrocco
Motörhead|Mot[oö]rhead
Motörhead|motorhead
Möbius strips|M[oö]bius strips
Möbius strips|mobius strips
Möbius strip|M[oö]bius strip
Möbius strip|mobius strip
Mötley Crüe|M[oö]tley Cr[uü]e
Mötley Crüe|motley crue
Māori|Maori
Māori|Māori
Napoleonic|Napoleonian
Napoleonic|napoleonian
Nazareth|Nazereth
Nazareth|nazereth
Netherlands Antilles|Netherland Antilles
Neufchâtel cheese|Neufch[aâ]tel cheese
Neufchâtel cheese|neufchatel cheese
New Yorker|Newyorker
New Yorker|newyorker
Newfoundland|Foundland
Newfoundland|foundland
Nez Percé|Nez Perc[eé]
Nez Percé|nez perce
Niagara Falls|Niagra Falls
Norwegian|Norweigan
November|Nobember
November|Novemeber
November|Novemebr
November|Novemer
November|Novemnber
November|Novemver
November|Novermber
November|november
Noëls|No[eë]ls
Noëls|noels
Noël|No[eë]l
Noël|noel
Nullarbor|Nullabour
Nullarbor|nullabour
Nuremberg|Nuremburg
Nuremberg|nuremburg
OSs|OSes
October|0ctober
October|Ocober
October|Ocotber
October|Octber
October|Octoebr
October|Octoer
October|Octomber
October|Octoner
October|Octover
October|Octpber
October|Octuber
October|october
Oklahoma|Okalahoma
Ottawa|Ottowa
Ottoman|ottaman
PCB|pcb
Palestinians|Palistinians
Palestinians|palistinians
Palestinian|Palistian
Palestinian|Palistinian
Palestinian|palistian
Palestinian|palistinian
Papanicolaou|Papanicalou
Papanicolaou|papanicalou
Peloponnesus|peloponnes
Pennsylvania|Pennsilvania
Pennsylvania|Pennsylvaina
Pennsylvania|Pennyslvania
Pennsylvania|Pensylvania
Pharaoh|Pharoah
Pharaoh|pharoah
Philadelphia|Philadephia
Philadelphia|Philedelphia
Philippines|Philipines
Philippines|Phillipines
Philippines|Phillippines
Philippines|philipines
Philippines|phillipines
Philippines|phillippines
Philippine|Phillipine
Philippine|Phillippine
Philippine|phillipine
Philips Arena|Phillips Arena
Phoenecian|phonecian
Phoenician|Phonecian
Piña Coladas|Pi[nñ]a Coladas
Piña Coladas|pina coladas
Piña Colada|Pi[nñ]a Colada
Piña Colada|pina colada
Pokémon|Pok[eé]mon
Pokémon|pokemon
Portland Trail Blazers|Portland Trailblazers
Portuguese|Portugese
Portuguese|portugese
Potsdam|Postdam
Potsdam|postdam
Prague|Prauge
Premonstratensians|Premonasterians
Premonstratensians|premonasterians
Prime Minister|Prime Minster
Princeton|Princton
Priscilla|Pricilla
Puccini|Pucini
Puccini|pucini
Puerto Ricans|Puertorricans
Puerto Ricans|puertorricans
Puerto Rican|Puertorican
Puerto Rican|Puertorrican
Puerto Rican|puertorrican
Pūteketeke|P[uū]teketeke
Pūteketeke|Puteketeke
Québécois|Qu[eé]b[eé]cois
Québécois|Quebecois
Rio de Janeiro|Rio de Janerio
Rio de Janeiro|Rio de Janero
Rio de Janeiro|Rio de Janiero
Rockefeller|Rockerfeller
Rockefeller|rockerfeller
Russian|Rusian
Russian|Russain
Russian|Russina
Russian|Russion
Russian|russina
Russian|russion
Sacramento|Sacremento
Sahasraarjun|Sahastraarjun
Sahasrabahu|Sahastrabahu
Sahasradhara|Sahastradhara
Sahasra|Sahastra
San Diego|San Deigo
San Francisco|San Franciso
San Francisco|San Fransico
San Francisco|San Fransisco
Sanhedrin|Sanhedrim
Sanhedrin|sanhedrim
Saturdays|Saterdays
Saturdays|saterdays
Saturday|Saterday
Saturday|saterday
Saturday|saturday
Scandinavian|Scandanavian
Scandinavia|Scandanavia
Scandinavia|scandanavia
Scotland|Scottland
Scottish|Scotish
September|Sectember
September|Seotember
September|Sepember
September|Septembrer
September|Septemebr
September|Septemer
September|Septenber
September|Septermber
September|Septmber
September|Septmeber
September|Setember
September|Setpember
September|Spetember
September|Sptember
September|september
Shandong|Shangdong
Sinn Féin|Sinn F[eé]in
Sinn Féin|Sinn Fein
Sinn Féin|sinn fein
Sistine|Sixtin
Sistine|sixtin
Skagerrak|Skagerak
Skagerrak|skagerak
